Canton;Type of holder;Vehicle group / type;Fuel;TIME_PERIOD;OBS_VALUE
Appenzell Ausserrhoden;Legal entity;Passenger car;Battery electric vehicle (BEV);2020;80
Appenzell Ausserrhoden;Legal entity;Passenger car;Battery electric vehicle (BEV);2019;63
Appenzell Ausserrhoden;Legal entity;Passenger car;Battery electric vehicle (BEV);2018;48
Appenzell Ausserrhoden;Legal entity;Passenger car;Battery electric vehicle (BEV);2017;36
Appenzell Ausserrhoden;Legal entity;Passenger car;Battery electric vehicle (BEV);2016;24
No data/unknown;Natural person;Passenger car;Fuel cell electric vehicle (FCEV);2023;1
Aargau;Legal entity;Passenger car;Battery electric vehicle (BEV);2024;4715
Aargau;Legal entity;Passenger car;Battery electric vehicle (BEV);2023;3652
Aargau;Legal entity;Passenger car;Battery electric vehicle (BEV);2022;2111
Aargau;Legal entity;Passenger car;Battery electric vehicle (BEV);2021;1700
Aargau;Legal entity;Passenger car;Battery electric vehicle (BEV);2020;994
Aargau;Legal entity;Passenger car;Battery electric vehicle (BEV);2019;632
Aargau;Legal entity;Passenger car;Battery electric vehicle (BEV);2018;459
Aargau;Legal entity;Passenger car;Battery electric vehicle (BEV);2017;368
Aargau;Legal entity;Passenger car;Battery electric vehicle (BEV);2016;291
Solothurn;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2022;364
Solothurn;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2021;253
Solothurn;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2020;117
Solothurn;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2019;50
Solothurn;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2018;29
Solothurn;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2017;19
Solothurn;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2016;20
Solothurn;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2025;814
Solothurn;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2024;707
Valais;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2016;17
Valais;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2025;625
Valais;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2024;527
Valais;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2023;369
Valais;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2022;214
Valais;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2021;158
Valais;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2020;84
Valais;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2019;52
Valais;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2018;27
Appenzell Innerrhoden;Natural person;Passenger car;Other;2016;3
Appenzell Innerrhoden;Natural person;Passenger car;Other;2023;1
Appenzell Innerrhoden;Natural person;Passenger car;Other;2022;1
Appenzell Innerrhoden;Natural person;Passenger car;Other;2021;1
Appenzell Innerrhoden;Natural person;Passenger car;Other;2020;1
Appenzell Innerrhoden;Natural person;Passenger car;Other;2019;1
Appenzell Innerrhoden;Natural person;Passenger car;Other;2018;4
Neuchâtel;Natural person;Passenger car;Petrol: conventional;2024;59481
Neuchâtel;Natural person;Passenger car;Petrol: conventional;2023;60284
Neuchâtel;Natural person;Passenger car;Petrol: conventional;2022;61380
Neuchâtel;Natural person;Passenger car;Petrol: conventional;2021;62526
Neuchâtel;Natural person;Passenger car;Petrol: conventional;2020;63544
Neuchâtel;Natural person;Passenger car;Petrol: conventional;2019;61496
Neuchâtel;Natural person;Passenger car;Petrol: conventional;2018;64160
Neuchâtel;Natural person;Passenger car;Petrol: conventional;2017;64498
Neuchâtel;Natural person;Passenger car;Petrol: conventional;2016;64481
Fribourg;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2016;4
Fribourg;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2025;21
Fribourg;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2024;18
Fribourg;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2023;15
Fribourg;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2022;10
Fribourg;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2021;7
Fribourg;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2020;3
Fribourg;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2019;3
Fribourg;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2018;4
Uri;Natural person;Passenger car;Other;2024;5
Uri;Natural person;Passenger car;Other;2023;4
Uri;Natural person;Passenger car;Other;2022;4
Uri;Natural person;Passenger car;Other;2021;6
Uri;Natural person;Passenger car;Other;2020;7
Uri;Natural person;Passenger car;Other;2019;8
Uri;Natural person;Passenger car;Other;2018;7
Uri;Natural person;Passenger car;Other;2017;8
Uri;Natural person;Passenger car;Other;2016;8
Basel-Landschaft;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2024;30
Basel-Landschaft;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2023;23
Basel-Landschaft;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2022;18
Basel-Landschaft;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2021;15
Basel-Landschaft;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2020;11
Basel-Landschaft;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2019;8
Basel-Landschaft;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2018;9
Basel-Landschaft;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2017;8
Basel-Landschaft;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2016;7
St. Gallen;Legal entity;Passenger car;Gas (mono- and bi-fuel);2024;159
St. Gallen;Legal entity;Passenger car;Gas (mono- and bi-fuel);2023;172
St. Gallen;Legal entity;Passenger car;Gas (mono- and bi-fuel);2022;179
St. Gallen;Legal entity;Passenger car;Gas (mono- and bi-fuel);2021;193
St. Gallen;Legal entity;Passenger car;Gas (mono- and bi-fuel);2020;189
St. Gallen;Legal entity;Passenger car;Gas (mono- and bi-fuel);2019;184
St. Gallen;Legal entity;Passenger car;Gas (mono- and bi-fuel);2018;198
St. Gallen;Legal entity;Passenger car;Gas (mono- and bi-fuel);2017;195
St. Gallen;Legal entity;Passenger car;Gas (mono- and bi-fuel);2016;189
Ticino;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2024;16162
Ticino;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2023;13009
Ticino;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2022;10450
Ticino;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2021;8026
Ticino;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2020;5626
Ticino;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2019;4463
Ticino;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2018;3782
Ticino;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2017;3187
Ticino;Natural person;Passenger car;Petrol: hybrid electric vehicle (HEV);2016;2674
Appenzell Innerrhoden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2024;1422
Appenzell Innerrhoden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2023;929
Appenzell Innerrhoden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2022;298
Appenzell Innerrhoden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2021;507
Appenzell Innerrhoden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2020;507
Appenzell Innerrhoden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2019;48
Appenzell Innerrhoden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2018;75
Appenzell Innerrhoden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2017;11
Appenzell Innerrhoden;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2016;10
Obwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2024;247
Obwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2023;192
Obwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2022;114
Obwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2021;93
Obwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2020;60
Obwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2019;42
Obwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2018;28
Obwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2017;26
Obwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2016;20
Nidwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2024;454
Nidwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2023;347
Nidwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2022;209
Nidwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2021;141
Nidwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2020;87
Nidwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2019;51
Nidwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2018;32
Nidwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2017;23
Nidwalden;Legal entity;Passenger car;Battery electric vehicle (BEV);2016;14
Lucerne;Legal entity;Passenger car;Battery electric vehicle (BEV);2024;3378
Lucerne;Legal entity;Passenger car;Battery electric vehicle (BEV);2023;2411
Lucerne;Legal entity;Passenger car;Battery electric vehicle (BEV);2022;1460
Lucerne;Legal entity;Passenger car;Battery electric vehicle (BEV);2021;1143
Lucerne;Legal entity;Passenger car;Battery electric vehicle (BEV);2020;713
Lucerne;Legal entity;Passenger car;Battery electric vehicle (BEV);2019;473
Lucerne;Legal entity;Passenger car;Battery electric vehicle (BEV);2018;339
Lucerne;Legal entity;Passenger car;Battery electric vehicle (BEV);2017;302
Lucerne;Legal entity;Passenger car;Battery electric vehicle (BEV);2016;217
Schaffhausen;Natural person;Passenger car;Gas (mono- and bi-fuel);2023;92
Schaffhausen;Natural person;Passenger car;Gas (mono- and bi-fuel);2022;97
Schaffhausen;Natural person;Passenger car;Gas (mono- and bi-fuel);2021;93
Schaffhausen;Natural person;Passenger car;Gas (mono- and bi-fuel);2020;92
Schaffhausen;Natural person;Passenger car;Gas (mono- and bi-fuel);2019;94
Schaffhausen;Natural person;Passenger car;Gas (mono- and bi-fuel);2018;96
Schaffhausen;Natural person;Passenger car;Gas (mono- and bi-fuel);2017;93
Schaffhausen;Natural person;Passenger car;Gas (mono- and bi-fuel);2016;87
Schaffhausen;Natural person;Passenger car;Gas (mono- and bi-fuel);2025;85
Uri;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2024;82
Uri;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2023;74
Uri;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2022;50
Uri;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2021;44
Uri;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2020;20
Uri;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2019;12
Uri;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2018;9
Uri;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2017;10
Uri;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2016;3
Solothurn;Natural person;Passenger car;Gas (mono- and bi-fuel);2024;245
Solothurn;Natural person;Passenger car;Gas (mono- and bi-fuel);2023;250
Solothurn;Natural person;Passenger car;Gas (mono- and bi-fuel);2022;254
Solothurn;Natural person;Passenger car;Gas (mono- and bi-fuel);2021;250
Solothurn;Natural person;Passenger car;Gas (mono- and bi-fuel);2020;272
Solothurn;Natural person;Passenger car;Gas (mono- and bi-fuel);2019;262
Solothurn;Natural person;Passenger car;Gas (mono- and bi-fuel);2018;264
Solothurn;Natural person;Passenger car;Gas (mono- and bi-fuel);2017;233
Solothurn;Natural person;Passenger car;Gas (mono- and bi-fuel);2016;218
Bern;Natural person;Passenger car;Gas (mono- and bi-fuel);2024;912
Bern;Natural person;Passenger car;Gas (mono- and bi-fuel);2023;989
Bern;Natural person;Passenger car;Gas (mono- and bi-fuel);2022;1077
Bern;Natural person;Passenger car;Gas (mono- and bi-fuel);2021;1101
Bern;Natural person;Passenger car;Gas (mono- and bi-fuel);2020;1103
Bern;Natural person;Passenger car;Gas (mono- and bi-fuel);2019;1051
Bern;Natural person;Passenger car;Gas (mono- and bi-fuel);2018;1072
Bern;Natural person;Passenger car;Gas (mono- and bi-fuel);2017;1033
Bern;Natural person;Passenger car;Gas (mono- and bi-fuel);2016;958
Schwyz;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2024;590
Schwyz;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2023;565
Schwyz;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2022;358
Schwyz;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2021;284
Schwyz;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2020;168
Schwyz;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2019;103
Schwyz;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2018;92
Schwyz;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2017;31
Schwyz;Legal entity;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2016;20
Vaud;Natural person;Passenger car;Gas (mono- and bi-fuel);2024;961
Vaud;Natural person;Passenger car;Gas (mono- and bi-fuel);2023;964
Vaud;Natural person;Passenger car;Gas (mono- and bi-fuel);2022;973
Vaud;Natural person;Passenger car;Gas (mono- and bi-fuel);2021;955
Vaud;Natural person;Passenger car;Gas (mono- and bi-fuel);2020;975
Vaud;Natural person;Passenger car;Gas (mono- and bi-fuel);2019;916
Vaud;Natural person;Passenger car;Gas (mono- and bi-fuel);2018;919
Vaud;Natural person;Passenger car;Gas (mono- and bi-fuel);2017;848
Vaud;Natural person;Passenger car;Gas (mono- and bi-fuel);2016;806
Appenzell Ausserrhoden;Natural person;Passenger car;Petrol: conventional;2024;17399
Appenzell Ausserrhoden;Natural person;Passenger car;Petrol: conventional;2023;17659
Appenzell Ausserrhoden;Natural person;Passenger car;Petrol: conventional;2022;18001
Appenzell Ausserrhoden;Natural person;Passenger car;Petrol: conventional;2021;18483
Appenzell Ausserrhoden;Natural person;Passenger car;Petrol: conventional;2020;18856
Appenzell Ausserrhoden;Natural person;Passenger car;Petrol: conventional;2019;18253
Appenzell Ausserrhoden;Natural person;Passenger car;Petrol: conventional;2018;19304
Appenzell Ausserrhoden;Natural person;Passenger car;Petrol: conventional;2017;19851
Appenzell Ausserrhoden;Natural person;Passenger car;Petrol: conventional;2016;19780
Vaud;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2024;2500
Vaud;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2023;2068
Vaud;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2022;1626
Vaud;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2021;1157
Vaud;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2020;757
Vaud;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2019;515
Vaud;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2018;392
Vaud;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2017;373
Vaud;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2016;333
Valais;Natural person;Passenger car;Gas (mono- and bi-fuel);2024;213
Valais;Natural person;Passenger car;Gas (mono- and bi-fuel);2023;209
Valais;Natural person;Passenger car;Gas (mono- and bi-fuel);2022;197
Valais;Natural person;Passenger car;Gas (mono- and bi-fuel);2021;192
Valais;Natural person;Passenger car;Gas (mono- and bi-fuel);2020;178
Valais;Natural person;Passenger car;Gas (mono- and bi-fuel);2019;158
Valais;Natural person;Passenger car;Gas (mono- and bi-fuel);2018;152
Valais;Natural person;Passenger car;Gas (mono- and bi-fuel);2017;159
Valais;Natural person;Passenger car;Gas (mono- and bi-fuel);2016;144
Nidwalden;Legal entity;Passenger car;Diesel: conventional;2024;1606
Nidwalden;Legal entity;Passenger car;Diesel: conventional;2023;1678
Nidwalden;Legal entity;Passenger car;Diesel: conventional;2022;1687
Nidwalden;Legal entity;Passenger car;Diesel: conventional;2021;1826
Nidwalden;Legal entity;Passenger car;Diesel: conventional;2020;1935
Nidwalden;Legal entity;Passenger car;Diesel: conventional;2019;1891
Nidwalden;Legal entity;Passenger car;Diesel: conventional;2018;1939
Nidwalden;Legal entity;Passenger car;Diesel: conventional;2017;1704
Nidwalden;Legal entity;Passenger car;Diesel: conventional;2016;1688
Schwyz;Legal entity;Passenger car;Petrol: conventional;2024;7295
Schwyz;Legal entity;Passenger car;Petrol: conventional;2023;7490
Schwyz;Legal entity;Passenger car;Petrol: conventional;2022;7006
Schwyz;Legal entity;Passenger car;Petrol: conventional;2021;7412
Schwyz;Legal entity;Passenger car;Petrol: conventional;2020;7435
Schwyz;Legal entity;Passenger car;Petrol: conventional;2019;6946
Schwyz;Legal entity;Passenger car;Petrol: conventional;2018;7256
Schwyz;Legal entity;Passenger car;Petrol: conventional;2017;3024
Schwyz;Legal entity;Passenger car;Petrol: conventional;2016;2450
Valais;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2024;3125
Valais;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2023;2521
Valais;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2022;2038
Valais;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2021;1373
Valais;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2020;681
Valais;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2019;424
Valais;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2018;304
Valais;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2017;190
Valais;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2016;93
Appenzell Ausserrhoden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2016;25
Appenzell Ausserrhoden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2025;547
Appenzell Ausserrhoden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2024;409
Appenzell Ausserrhoden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2023;327
Appenzell Ausserrhoden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2022;259
Appenzell Ausserrhoden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2021;193
Appenzell Ausserrhoden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2020;131
Appenzell Ausserrhoden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2019;87
Appenzell Ausserrhoden;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2018;68
Neuchâtel;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2016;19
Neuchâtel;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2025;299
Neuchâtel;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2024;266
Neuchâtel;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2023;226
Neuchâtel;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2022;155
Neuchâtel;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2021;104
Neuchâtel;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2020;52
Neuchâtel;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2019;29
Neuchâtel;Legal entity;Passenger car;Diesel: hybrid electric vehicle (HEV);2018;16
Basel-Landschaft;Natural person;Passenger car;Diesel: conventional;2016;30782
Basel-Landschaft;Natural person;Passenger car;Diesel: conventional;2025;29083
Basel-Landschaft;Natural person;Passenger car;Diesel: conventional;2024;30357
Basel-Landschaft;Natural person;Passenger car;Diesel: conventional;2023;31500
Basel-Landschaft;Natural person;Passenger car;Diesel: conventional;2022;32754
Basel-Landschaft;Natural person;Passenger car;Diesel: conventional;2021;33281
Basel-Landschaft;Natural person;Passenger car;Diesel: conventional;2020;33364
Basel-Landschaft;Natural person;Passenger car;Diesel: conventional;2019;32669
Basel-Landschaft;Natural person;Passenger car;Diesel: conventional;2018;32898
Thurgau;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2024;4
Thurgau;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2023;5
Thurgau;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2022;5
Thurgau;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2021;4
Thurgau;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2020;2
Thurgau;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2019;1
Thurgau;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2018;1
Thurgau;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2017;1
Thurgau;Legal entity;Passenger car;Fuel cell electric vehicle (FCEV);2016;1
Ticino;Legal entity;Passenger car;Petrol: conventional;2024;13177
Ticino;Legal entity;Passenger car;Petrol: conventional;2023;13297
Ticino;Legal entity;Passenger car;Petrol: conventional;2022;12945
Ticino;Legal entity;Passenger car;Petrol: conventional;2021;13080
Ticino;Legal entity;Passenger car;Petrol: conventional;2020;13033
Ticino;Legal entity;Passenger car;Petrol: conventional;2019;12404
Ticino;Legal entity;Passenger car;Petrol: conventional;2018;12696
Ticino;Legal entity;Passenger car;Petrol: conventional;2017;12114
Ticino;Legal entity;Passenger car;Petrol: conventional;2016;11694
Solothurn;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2024;2003
Solothurn;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2023;1548
Solothurn;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2022;1214
Solothurn;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2021;789
Solothurn;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2020;405
Solothurn;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2019;262
Solothurn;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2018;191
Solothurn;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2017;143
Solothurn;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): petrol;2016;76
Basel-Landschaft;Natural person;Passenger car;Battery electric vehicle (BEV);2024;4792
Basel-Landschaft;Natural person;Passenger car;Battery electric vehicle (BEV);2023;3643
Basel-Landschaft;Natural person;Passenger car;Battery electric vehicle (BEV);2022;2622
Basel-Landschaft;Natural person;Passenger car;Battery electric vehicle (BEV);2021;1720
Basel-Landschaft;Natural person;Passenger car;Battery electric vehicle (BEV);2020;1006
Basel-Landschaft;Natural person;Passenger car;Battery electric vehicle (BEV);2019;659
Basel-Landschaft;Natural person;Passenger car;Battery electric vehicle (BEV);2018;403
Basel-Landschaft;Natural person;Passenger car;Battery electric vehicle (BEV);2017;290
Basel-Landschaft;Natural person;Passenger car;Battery electric vehicle (BEV);2016;219
Uri;Legal entity;Passenger car;Gas (mono- and bi-fuel);2025;3
Uri;Legal entity;Passenger car;Gas (mono- and bi-fuel);2024;3
Uri;Legal entity;Passenger car;Gas (mono- and bi-fuel);2023;3
Uri;Legal entity;Passenger car;Gas (mono- and bi-fuel);2022;3
Uri;Legal entity;Passenger car;Gas (mono- and bi-fuel);2021;2
Uri;Legal entity;Passenger car;Gas (mono- and bi-fuel);2020;1
Uri;Legal entity;Passenger car;Gas (mono- and bi-fuel);2019;1
Uri;Legal entity;Passenger car;Gas (mono- and bi-fuel);2018;1
Bern;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2024;5354
Bern;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2023;4324
Bern;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2022;2627
Bern;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2021;2271
Bern;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2020;1568
Bern;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2019;1047
Bern;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2018;902
Bern;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2017;1191
Bern;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2016;1041
Fribourg;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2024;2123
Fribourg;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2023;1557
Fribourg;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2022;961
Fribourg;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2021;859
Fribourg;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2020;595
Fribourg;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2019;427
Fribourg;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2018;322
Fribourg;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2017;256
Fribourg;Legal entity;Passenger car;Petrol: hybrid electric vehicle (HEV);2016;220
Glarus;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2018;2
Glarus;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2025;9
Glarus;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2024;10
Glarus;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2023;9
Glarus;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2022;9
Glarus;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2021;7
Glarus;Natural person;Passenger car;Plug-in hybrid electric vehicle (PHEV): diesel;2020;5
Zug;Legal entity;Passenger car;Other;2024;6
Zug;Legal entity;Passenger car;Other;2023;8
Zug;Legal entity;Passenger car;Other;2022;8
Zug;Legal entity;Passenger car;Other;2021;8
Zug;Legal entity;Passenger car;Other;2020;12
Zug;Legal entity;Passenger car;Other;2019;14
Zug;Legal entity;Passenger car;Other;2018;16
Zug;Legal entity;Passenger car;Other;2017;22
Zug;Legal entity;Passenger car;Other;2016;29
No data/unknown;Legal entity;Passenger car;Petrol: conventional;2022;147
No data/unknown;Legal entity;Passenger car;Petrol: conventional;2024;180
Obwalden;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2022;84
Obwalden;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2021;47
Obwalden;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2020;25
Obwalden;Natural person;Passenger car;Diesel: hybrid electric vehicle (HEV);2019;13
